,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Dare Ogunbowale,JAX,9,36,0,20,2.2,16,1.8,0,
1,Ryquell Armstead,JAX,6,28,1,16,2.7,12,2.0,0,
2,Trevor Lawrence,JAX,2,16,1,16,8.0,0,0.0,0,
4,Rhamondre Stevenson,NWE,19,107,7,54,2.8,53,2.8,1,19.0
5,Damien Harris,NWE,9,35,5,19,2.1,16,1.8,1,9.0
6,Kendrick Bourne,NWE,2,17,1,9,4.5,8,4.0,1,2.0
7,Brian Hoyer,NWE,2,1,1,0,0.0,1,0.5,0,
8,Mac Jones,NWE,2,12,2,10,5.0,2,1.0,0,
9,Brandon Bolden,NWE,1,4,0,1,1.0,3,3.0,0,
10,Jonnu Smith,NWE,1,5,0,1,1.0,4,4.0,0,
