,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Greg Joseph,MIN,1,1,1,1,0,0,,0
1,Jordan Berry,MIN,,,,,6,296,49.3,64
4,Mason Crosby,GNB,4,4,3,3,0,0,,0
5,Corey Bojorquez,GNB,,,,,2,63,31.5,39
