,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Dalvin Cook,MIN,9,13,,13,1.4,0,0.0,0,
1,Sean Mannion,MIN,2,14,2,11,5.5,3,1.5,0,
3,AJ Dillon,GNB,14,63,5,41,2.9,22,1.6,1,14.0
4,Aaron Jones,GNB,8,76,2,49,6.1,27,3.4,1,8.0
5,Patrick Taylor,GNB,6,18,1,14,2.3,4,0.7,1,6.0
6,Jordan Love,GNB,2,9,1,9,4.5,0,0.0,0,
7,Aaron Rodgers,GNB,2,8,2,8,4.0,0,0.0,0,
