,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Brandon McManus,DEN,1,1,2,2,0,0,,0
1,Sam Martin,DEN,,,,,3,137,45.7,56
4,Dustin Hopkins,LAC,4,4,2,2,0,0,,0
5,Ty Long,LAC,,,,,3,115,38.3,48
