,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Tavon Austin,JAX,0,0,,0,0,1,3,3.0,0,3
1,Chris Claybrooks,JAX,5,88,17.6,0,25,0,0,,0,0
4,Jakob Johnson,NWE,1,14,14.0,0,14,0,0,,0,0
5,Devin McCourty,NWE,1,9,9.0,0,9,0,0,,0,0
6,Gunner Olszewski,NWE,1,27,27.0,0,27,0,0,,0,0
