,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Boston Scott,PHI,14,47,5,15,1.1,32,2.3,0,
1,Jordan Howard,PHI,11,26,1,8,0.7,18,1.6,0,
2,Jalen Hurts,PHI,7,44,2,33,4.7,11,1.6,0,
3,Kenneth Gainwell,PHI,1,4,1,1,1.0,3,3.0,0,
4,Jalen Reagor,PHI,1,-3,,-3,-3.0,0,0.0,0,
6,Jaret Patterson,WAS,12,57,4,26,2.2,31,2.6,0,
7,Wendell Smallwood,WAS,4,12,2,6,1.5,6,1.5,0,
8,Taylor Heinicke,WAS,2,14,1,14,7.0,0,0.0,0,
9,Jonathan Williams,WAS,2,4,1,1,0.5,3,1.5,0,
10,DeAndre Carter,WAS,1,6,,5,5.0,1,1.0,0,
11,Dax Milne,WAS,1,1,,1,1.0,0,0.0,0,
