,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Younghoe Koo,ATL,1,1,2,2,0,0,,0
1,Thomas Morstead,ATL,,,,,4,159,39.8,48
4,Tyler Bass,BUF,3,3,,,0,0,,0
