,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Ka'imi Fairbairn,HOU,1,1,,1,0,0,,0
1,Cameron Johnston,HOU,,,,,7,328,46.9,53
4,Robbie Gould,SFO,2,2,3,3,0,0,,0
5,Mitch Wishnowsky,SFO,,,,,4,159,39.8,52
