,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Sony Michel,LAR,19,74,6,40,2.1,34,1.8,0,
1,Matthew Stafford,LAR,1,-1,0,-1,-1.0,0,0.0,0,
3,Devonta Freeman,BAL,14,76,3,57,4.1,19,1.4,0,
4,Latavius Murray,BAL,11,31,3,19,1.7,12,1.1,0,
5,Tyler Huntley,BAL,6,54,4,45,7.5,9,1.5,0,
6,Devin Duvernay,BAL,1,4,,4,4.0,0,0.0,0,
