,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Rex Burkhead,HOU,16,47,2,11,0.7,36,2.3,0,
1,Royce Freeman,HOU,6,25,2,11,1.8,14,2.3,0,
2,Jaylen Samuels,HOU,3,7,0,1,0.3,6,2.0,0,
3,Chris Conley,HOU,1,3,1,0,0.0,3,3.0,0,
4,Davis Mills,HOU,1,4,0,4,4.0,0,0.0,0,
6,Elijah Mitchell,SFO,21,119,5,47,2.2,72,3.4,1,21.0
7,Trey Lance,SFO,8,31,1,25,3.1,6,0.8,0,
8,Deebo Samuel,SFO,7,19,1,13,1.9,6,0.9,0,
9,George Kittle,SFO,1,6,0,3,3.0,3,3.0,0,
