,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Jamaal Williams,DET,11,22,2,8,0.7,14,1.3,0,
1,Craig Reynolds,DET,4,4,0,2,0.5,2,0.5,0,
2,D'Andre Swift,DET,4,32,1,6,1.5,26,6.5,0,
3,Amon-Ra St. Brown,DET,2,23,1,-3,-1.5,26,13.0,2,1.0
4,Tim Boyle,DET,1,14,1,13,13.0,1,1.0,0,
6,Rashaad Penny,SEA,25,170,9,93,3.7,77,3.1,2,12.5
7,Travis Homer,SEA,6,27,2,8,1.3,19,3.2,1,6.0
8,Russell Wilson,SEA,6,24,3,5,0.8,19,3.2,0,
9,DeeJay Dallas,SEA,1,1,,0,0.0,1,1.0,0,
10,D'Wayne Eskridge,SEA,1,30,1,24,24.0,6,6.0,0,
11,Tyler Lockett,SEA,1,7,0,7,7.0,0,0.0,0,
12,D.K. Metcalf,SEA,1,6,0,4,4.0,2,2.0,0,
