,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Darrel Williams,KAN,14,88,6,47,3.4,41,2.9,1,14.0
1,Derrick Gore,KAN,3,37,2,29,9.7,8,2.7,0,
2,Patrick Mahomes,KAN,2,25,1,23,11.5,2,1.0,0,
3,Blake Bell,KAN,1,2,1,1,1.0,1,1.0,0,
4,Michael Burton,KAN,1,2,1,1,1.0,1,1.0,0,
5,Tyreek Hill,KAN,1,2,0,1,1.0,1,1.0,0,
6,Travis Kelce,KAN,1,-1,0,-1,-1.0,0,0.0,0,
8,Joe Mixon,CIN,12,46,4,27,2.3,19,1.6,0,
9,Joe Burrow,CIN,5,10,1,1,0.2,9,1.8,0,
10,Brandon Allen,CIN,1,0,,0,0.0,0,0.0,0,
11,Samaje Perine,CIN,1,4,,2,2.0,2,2.0,0,
