,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Ameer Abdullah,CAR,1,18,18.0,0,18,0,0,,0,0
3,Deonte Harris,NOR,2,63,31.5,0,32,4,8,2.0,0,3
