,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Kene Nwangwu,MIN,3,86,28.7,0,37,0,0,,0,0
3,David Moore,GNB,0,0,,0,0,3,33,11.0,0,21
4,Equanimeous St. Brown,GNB,1,17,17.0,0,17,0,0,,0,0
