,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Pharoh Cooper,NYG,3,53,17.7,0,26,2,17,8.5,0,17
3,Jakeem Grant,CHI,1,6,6.0,0,6,1,1,1.0,0,1
4,Khalil Herbert,CHI,1,16,16.0,0,16,0,0,,0,0
