,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Mac Jones,NWE,22,30,186,9,27.3,120,4.0,54,2.5,1.8,132,6.0,2,7.1%,2,7.1%,3,4,2,0,5,15.2%,0,
2,Zach Wilson,NYJ,19,33,210,6,16.2,301,9.1,134,7.1,4.1,76,4.0,0,0.0%,9,27.3%,4,8,5,1,10,25.6%,2,10.0
