,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Andre Roberts,HOU,3,54,18.0,0,19,1,0,0.0,0,0
1,Desmond King,HOU,1,27,27.0,0,27,0,0,,0,0
4,Demetric Felton,CLE,2,41,20.5,0,25,3,22,7.3,0,15
