,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Tyler Bass,BUF,5,5,,1,0,0,,0
1,Matt Haack,BUF,,,,,4,184,46.0,54
4,Michael Palardy,MIA,,,,,5,222,44.4,61
