,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Dak Prescott,DAL,23,27,237,13,44.8,137,5.1,76,3.3,2.8,161,7.0,0,0.0%,1,3.7%,2,5,0,1,3,10.3%,0,
2,Justin Herbert,LAC,31,41,338,13,30.2,254,6.2,170,5.5,4.1,168,5.4,3,7.5%,3,7.5%,2,9,2,7,11,24.4%,2,4.0
