,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Aldrick Rosas,NOR,1,1,,,0,0,,0
1,Blake Gillikin,NOR,,,,,6,294,49.0,60
4,Zane Gonzalez,CAR,2,3,2,3,0,0,,0
5,Joseph Charlton,CAR,,,,,4,160,40.0,51
