,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Robbie Gould,SFO,2,2,1,1,0,0,,0
1,Mitch Wishnowsky,SFO,,,,,5,226,45.2,52
4,Arryn Siposs,PHI,,,,,4,204,51.0,68
5,Jake Elliott,PHI,,,1,2,0,0,,0
