,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Avery Williams,ATL,4,59,14.8,0,19,2,11,5.5,0,6
1,Cordarrelle Patterson,ATL,1,27,27.0,0,27,0,0,,0,0
4,Giovani Bernard,TAM,1,16,16.0,0,16,0,0,,0,0
5,Jaydon Mickens,TAM,1,24,24.0,0,24,0,0,,0,0
6,Scott Miller,TAM,1,19,19.0,0,19,0,0,,0,0
