,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Matt Ryan,ATL,35,46,300,15,31.9,170,3.7,113,3.2,2.5,187,5.3,1,2.2%,5,10.9%,1,16,3,6,10,20.8%,1,3.0
1,Josh Rosen,ATL,0,2,0,,,16,8.0,0,,0.0,0,,0,0.0%,1,50.0%,0,1,2,0,2,100.0%,0,
3,Tom Brady,TAM,24,36,276,14,35.9,347,9.6,188,7.8,5.2,88,3.7,0,0.0%,8,22.2%,3,7,1,2,6,15.0%,1,6.0
