,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jabrill Peppers,NYG,0,0,,0,0,2,8,4.0,0,8
1,C.J. Board,NYG,1,20,20.0,0,20,0,0,,0,0
4,DeAndre Carter,WAS,4,83,20.8,0,27,0,0,,0,0
