,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Tyler Boyd,CIN,9,7,73,0,5,44,6.3,29,4.1,4.4,0,,0,0.0,2,60.9
1,Tee Higgins,CIN,10,6,60,1,3,41,6.8,19,3.2,9.7,0,,0,0.0,1,70.8
2,Ja'Marr Chase,CIN,4,2,54,1,2,40,20.0,14,7.0,20.5,0,,1,25.0,0,135.4
3,C.J. Uzomah,CIN,2,2,4,0,,-1,-0.5,5,2.5,-0.5,1,2.0,0,0.0,0,79.2
4,Chris Evans,CIN,1,1,14,0,,4,4.0,10,10.0,4.0,0,,0,0.0,0,118.7
5,Joe Mixon,CIN,2,1,2,0,0,-1,-1.0,3,3.0,0.0,0,,0,0.0,0,56.2
6,Samaje Perine,CIN,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6
8,Darnell Mooney,CHI,8,6,66,0,4,59,9.8,7,1.2,10.8,1,6.0,0,0.0,0,99.0
9,David Montgomery,CHI,4,3,18,0,1,4,1.3,14,4.7,-0.3,1,3.0,0,0.0,0,83.3
10,Allen Robinson,CHI,4,2,24,1,2,14,7.0,10,5.0,14.8,1,2.0,1,25.0,0,108.3
11,Damien Williams,CHI,3,2,-2,0,,-2,-1.0,0,0.0,0.3,0,,0,0.0,0,70.1
12,Marquise Goodwin,CHI,3,1,10,0,,10,10.0,0,0.0,10.0,0,,0,0.0,1,4.2
13,Cole Kmet,CHI,1,1,0,0,,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2
