,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Greg Joseph,MIN,3,4,2,3,0,0,,0
1,Jordan Berry,MIN,,,,,5,231,46.2,60
4,Matt Prater,ARI,4,4,2,2,0,0,,0
5,Andy Lee,ARI,,,,,4,221,55.3,60
