,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Harrison Butker,KAN,5,5,,,0,0,,0
1,Tommy Townsend,KAN,,,,,3,135,45.0,54
4,Justin Tucker,BAL,3,3,1,1,0,0,,0
5,Sam Koch,BAL,,,,,2,95,47.5,49
