,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Darrell Henderson,LAR,13,53,4,33,2.5,20,1.5,0,
1,Sony Michel,LAR,10,46,2,33,3.3,13,1.3,1,10.0
2,Matthew Stafford,LAR,2,1,0,1,0.5,0,0.0,0,
3,Robert Woods,LAR,2,6,0,3,1.5,3,1.5,0,
4,Johnny Hekker,LAR,1,0,,0,0.0,0,0.0,0,
5,Cooper Kupp,LAR,1,-5,0,-5,-5.0,0,0.0,0,
7,Jonathan Taylor,IND,15,51,4,39,2.6,12,0.8,0,
8,Marlon Mack,IND,5,16,1,9,1.8,7,1.4,0,
9,Carson Wentz,IND,5,37,2,36,7.2,1,0.2,0,
10,Nyheim Hines,IND,1,5,1,3,3.0,2,2.0,0,
