,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Joey Slye,HOU,3,3,,1,0,0,,0
1,Cameron Johnston,HOU,,,,,4,209,52.3,56
4,Chase McLaughlin,CLE,4,4,1,1,0,0,,0
5,Jamie Gillan,CLE,,,,,2,80,40.0,43
