,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Dede Westbrook,MIN,0,0,,0,0,3,21,7.0,0,15
1,Ihmir Smith-Marsette,MIN,1,22,22.0,0,22,0,0,,0,0
4,Rondale Moore,ARI,1,21,21.0,0,21,3,19,6.3,0,8
5,Demetrius Harris,ARI,1,14,14.0,0,14,0,0,,0,0
