,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Brandon McManus,DEN,2,2,3,3,0,0,,0
1,Sam Martin,DEN,,,,,4,180,45.0,48
4,Josh Lambo,JAX,1,1,,2,0,0,,0
5,Logan Cooke,JAX,,,,,4,227,56.8,64
