,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Hunter Renfrow,LVR,0,0,,0,0,2,26,13.0,0,16
1,Henry Ruggs III,LVR,1,22,22.0,0,22,0,0,,0,0
4,Ray-Ray McCloud,PIT,4,92,23.0,0,28,2,21,10.5,0,15
