,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jamal Agnew,JAX,4,68,17.0,0,20,2,17,8.5,0,13
1,Dan Arnold,JAX,1,13,13.0,0,13,0,0,,0,0
4,Freddie Swain,SEA,0,0,,0,0,1,20,20.0,0,20
5,DeeJay Dallas,SEA,1,21,21.0,0,21,0,0,,0,0
6,Travis Homer,SEA,1,44,44.0,1,44,0,0,,0,0
