,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Amari Rodgers,GNB,0,0,,0,0,2,12,6.0,0,7
1,Kylin Hill,GNB,1,13,13.0,0,13,0,0,,0,0
4,Rondale Moore,ARI,2,48,24.0,0,28,3,14,4.7,0,14
5,Demetrius Harris,ARI,1,12,12.0,0,12,0,0,,0,0
