,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Dan Arnold,JAX,10,8,68,0,5,37,4.6,31,3.9,3.7,0,,0,0.0,0,95.0
1,Jamal Agnew,JAX,12,6,38,1,5,11,1.8,27,4.5,6.1,0,,0,0.0,0,84.7
2,Carlos Hyde,JAX,8,6,40,0,1,-2,-0.3,42,7.0,-0.3,0,,0,0.0,0,85.4
3,Marvin Jones,JAX,8,5,35,0,3,23,4.6,12,2.4,7.3,0,,1,12.5,0,72.4
4,Laviska Shenault Jr.,JAX,4,2,13,0,,1,0.5,12,6.0,4.8,0,,1,25.0,0,57.3
5,Tavon Austin,JAX,3,1,5,0,,5,5.0,0,0.0,14.3,0,,0,0.0,1,2.8
6,Luke Farrell,JAX,2,1,3,0,1,-2,-2.0,5,5.0,2.5,0,,0,0.0,0,56.2
7,Tyron Johnson,JAX,2,1,10,0,1,10,10.0,0,0.0,15.5,0,,0,0.0,0,64.6
8,Dare Ogunbowale,JAX,1,1,9,0,,3,3.0,6,6.0,3.0,0,,0,0.0,0,104.2
9,James Robinson,JAX,2,1,17,0,1,-2,-2.0,19,19.0,-2.0,0,,0,0.0,0,79.2
11,Tyler Lockett,SEA,13,12,142,0,6,115,9.6,27,2.3,10.3,1,12.0,0,0.0,0,112.2
12,D.K. Metcalf,SEA,6,6,43,2,3,34,5.7,9,1.5,5.7,0,,0,0.0,0,136.1
13,Gerald Everett,SEA,2,1,7,0,,7,7.0,0,0.0,6.0,0,,0,0.0,0,58.3
14,Travis Homer,SEA,1,1,3,0,0,1,1.0,2,2.0,1.0,0,,0,0.0,0,79.2
