,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Matthew Stafford,LAR,21,32,305,16,50.0,218,6.8,170,8.1,5.3,135,6.4,2,6.3%,6,18.8%,0,9,3,1,4,12.5%,0,
1,John Wolford,LAR,1,2,5,,,-1,-0.5,-2,-2.0,-1.0,7,7.0,0,0.0%,0,0.0%,1,0,0,0,1,33.3%,0,
3,Davis Mills,HOU,29,38,310,13,30.2,256,6.7,192,6.6,5.1,118,4.1,0,0.0%,5,13.5%,5,17,3,1,9,20.9%,0,
4,Rex Burkhead,HOU,0,1,0,0,0.0,7,7.0,0,,0.0,0,,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,
