,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Mac Jones,NWE,18,35,217,10,27.8,334,9.5,142,7.9,4.1,75,4.2,1,2.9%,13,38.2%,1,12,1,3,5,13.2%,2,4.5
2,Justin Herbert,LAC,18,35,223,12,31.6,323,9.2,130,7.2,3.7,93,5.2,2,5.9%,8,23.5%,3,7,5,1,9,23.1%,1,10.0
