,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Leonard Fournette,TAM,8,26,1,17,2.1,9,1.1,0,
1,Ronald Jones II,TAM,3,13,,7,2.3,6,2.0,0,
2,Giovani Bernard,TAM,2,30,1,23,11.5,7,3.5,0,
3,Tom Brady,TAM,1,2,1,1,1.0,1,1.0,0,
5,Alvin Kamara,NOR,19,61,3,41,2.2,20,1.1,2,9.5
6,Mark Ingram,NOR,6,27,1,9,1.5,18,3.0,1,6.0
7,Jameis Winston,NOR,4,40,3,36,9.0,4,1.0,2,2.0
8,Trevor Siemian,NOR,2,2,0,2,1.0,0,0.0,0,
9,Deonte Harris,NOR,1,22,1,20,20.0,2,2.0,0,
