,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Carlos Hyde,JAX,9,32,1,15,1.7,17,1.9,1,9.0
1,James Robinson,JAX,4,22,1,10,2.5,12,3.0,1,4.0
2,Trevor Lawrence,JAX,3,11,0,3,1.0,8,2.7,0,
3,Dare Ogunbowale,JAX,2,9,,5,2.5,4,2.0,0,
4,Laviska Shenault Jr.,JAX,1,8,,5,5.0,3,3.0,0,
6,Alex Collins,SEA,10,44,3,23,2.3,21,2.1,2,5.0
7,Rashaad Penny,SEA,7,7,,4,0.6,3,0.4,0,
8,Travis Homer,SEA,4,9,1,3,0.8,6,1.5,0,
9,Geno Smith,SEA,2,8,1,1,0.5,7,3.5,0,
10,DeeJay Dallas,SEA,1,6,,1,1.0,5,5.0,0,
11,Gerald Everett,SEA,1,-5,,-5,-5.0,0,0.0,0,
