,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jevon Holland,MIA,0,0,,0,0,3,12,4.0,0,8
1,Jaylen Waddle,MIA,2,25,12.5,0,18,0,0,,0,0
4,Isaiah McKenzie,BUF,2,37,18.5,0,19,2,25,12.5,0,16
