,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Myles Gaskin,MIA,12,36,2,20,1.7,16,1.3,0,
1,Salvon Ahmed,MIA,7,22,1,5,0.7,17,2.4,1,7.0
2,Tua Tagovailoa,MIA,4,10,1,7,1.8,3,0.8,0,
4,Josh Allen,BUF,8,55,4,36,4.5,19,2.4,2,4.0
5,Zack Moss,BUF,8,19,0,8,1.0,11,1.4,0,
6,Devin Singletary,BUF,7,28,1,10,1.4,18,2.6,0,
