,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Evan McPherson,CIN,4,4,1,1,0,0,,0
1,Kevin Huber,CIN,,,,,4,185,46.3,55
4,Matt Ammendola,NYJ,2,2,2,3,0,0,,0
5,Thomas Morstead,NYJ,,,,,1,45,45.0,45
