,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Elijah Mitchell,SFO,18,137,6,42,2.3,95,5.3,0,
1,Jimmy Garoppolo,SFO,5,4,2,3,0.6,1,0.2,0,
2,Jamycal Hasty,SFO,3,4,1,0,0.0,4,1.3,0,
4,Khalil Herbert,CHI,23,72,4,32,1.4,40,1.7,4,5.8
5,Justin Fields,CHI,10,103,5,57,5.7,46,4.6,2,5.0
6,Damien Williams,CHI,2,-3,,-3,-1.5,0,0.0,0,
7,Ryan Nall,CHI,1,4,,0,0.0,4,4.0,0,
