,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Kyler Murray,ARI,20,30,229,11,34.4,264,8.8,153,7.7,5.1,76,3.8,2,7.1%,4,14.3%,2,13,7,1,10,31.3%,0,
2,Baker Mayfield,CLE,19,28,234,11,33.3,231,8.3,167,8.8,6.0,67,3.5,2,7.1%,3,10.7%,5,7,7,1,13,36.1%,3,2.7
3,Case Keenum,CLE,1,3,6,,,10,3.3,0,0.0,0.0,6,6.0,0,0.0%,1,33.3%,0,1,2,0,2,66.7%,0,
