,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Cameron Johnston,HOU,,,,,5,212,42.4,55
1,Ka'imi Fairbairn,HOU,,,1,1,0,0,,0
4,Michael Badgley,IND,4,4,1,1,0,0,,0
5,Rigoberto Sanchez,IND,,,,,5,217,43.4,50
