,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Greg Joseph,MIN,1,1,3,5,0,0,,0
1,Jordan Berry,MIN,,,,,4,188,47.0,54
4,Zane Gonzalez,CAR,2,2,2,2,0,0,,0
5,Ryan Winslow,CAR,,,,,6,244,40.7,44
