,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Harrison Butker,KAN,4,4,1,1,0,0,,0
1,Tommy Townsend,KAN,,,,,2,53,26.5,34
4,Dustin Hopkins,WAS,1,1,2,3,0,0,,0
5,Tress Way,WAS,,,,,4,232,58.0,66
