,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Jaylen Waddle,MIA,2,38,19.0,0,20,0,0,,0,0
3,Jamal Agnew,JAX,3,55,18.3,0,23,0,0,,0,0
