,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Leonard Fournette,TAM,22,81,6,37,1.7,44,2.0,1,22.0
1,Ronald Jones II,TAM,5,20,1,10,2.0,10,2.0,0,
2,Tom Brady,TAM,4,1,1,1,0.3,0,0.0,0,
4,Jalen Hurts,PHI,10,44,3,38,3.8,6,0.6,1,10.0
5,Miles Sanders,PHI,9,56,5,39,4.3,17,1.9,0,
