,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,James Conner,ARI,16,71,5,26,1.6,45,2.8,3,5.3
1,Kyler Murray,ARI,7,6,1,5,0.7,1,0.1,0,
2,Chase Edmonds,ARI,4,46,1,39,9.8,7,1.8,0,
3,Jonathan Ward,ARI,4,14,1,8,2.0,6,1.5,0,
4,Colt McCoy,ARI,3,-3,,-3,-1.0,0,0.0,0,
5,Rondale Moore,ARI,3,10,0,5,1.7,5,1.7,1,3.0
7,Kareem Hunt,CLE,14,66,4,41,2.9,25,1.8,1,14.0
8,Baker Mayfield,CLE,3,8,0,8,2.7,0,0.0,0,
9,D'Ernest Johnson,CLE,1,2,0,1,1.0,1,1.0,0,
10,Anthony Schwartz,CLE,1,-3,,-3,-3.0,0,0.0,0,
