,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Matthew Stafford,LAR,22,28,251,15,50.0,216,7.7,138,6.3,4.9,113,5.1,3,10.7%,2,7.1%,2,7,1,1,4,12.5%,2,6.0
1,John Wolford,LAR,0,2,0,,,20,10.0,0,,0.0,0,,0,0.0%,1,50.0%,0,0,0,0,0,0.0%,0,
3,Daniel Jones,NYG,29,51,242,15,27.3,350,6.9,128,4.4,2.5,114,3.9,4,8.3%,12,25.0%,4,17,3,2,9,16.1%,1,2.0
