,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Andre Roberts,HOU,4,91,22.8,0,34,1,3,3.0,0,3
3,Nyheim Hines,IND,0,0,,0,0,2,8,4.0,0,6
4,Ashton Dulin,IND,2,58,29.0,0,31,0,0,,0,0
