,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Matt Gay,LAR,5,5,1,1,0,0,,0
1,Johnny Hekker,LAR,,,,,4,160,40.0,52
4,Riley Dixon,NYG,,,,,4,210,52.5,63
5,Graham Gano,NYG,,,1,1,0,0,,0
