,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Cole Beasley,BUF,11,9,64,0,3,31,3.4,33,3.7,3.9,0,,0,0.0,0,90.9
1,Stefon Diggs,BUF,13,7,74,0,4,59,8.4,15,2.1,11.6,0,,0,0.0,0,70.7
2,Dawson Knox,BUF,9,7,60,1,2,22,3.1,38,5.4,3.6,0,,0,0.0,1,91.9
3,Devin Singletary,BUF,7,6,37,0,1,-5,-0.8,42,7.0,-0.7,0,,0,0.0,0,88.7
4,Gabriel Davis,BUF,8,5,43,1,4,27,5.4,16,3.2,5.4,0,,0,0.0,0,116.1
5,Isaiah McKenzie,BUF,1,1,5,0,1,-4,-4.0,9,9.0,-4.0,0,,0,0.0,0,87.5
6,Emmanuel Sanders,BUF,1,1,25,0,1,21,21.0,4,4.0,21.0,0,,0,0.0,0,118.7
7,Matt Breida,BUF,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
9,Chris Godwin,TAM,15,10,105,0,4,46,4.6,59,5.9,7.7,0,,0,0.0,0,86.8
10,Mike Evans,TAM,6,6,91,1,5,61,10.2,30,5.0,10.2,0,,0,0.0,0,158.3
11,Rob Gronkowski,TAM,9,5,62,0,2,14,2.8,48,9.6,12.6,1,5.0,0,0.0,0,77.1
12,Leonard Fournette,TAM,7,4,19,0,1,-12,-3.0,31,7.8,0.0,0,,1,14.3,0,62.2
13,Tyler Johnson,TAM,3,3,17,0,,4,1.3,13,4.3,1.3,0,,0,0.0,0,90.3
14,Cameron Brate,TAM,4,2,11,0,,11,5.5,0,0.0,5.0,0,,0,0.0,0,56.2
15,Breshad Perriman,TAM,2,1,58,1,1,5,5.0,53,53.0,6.5,0,,0,0.0,0,135.4
