,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Rashaad Penny,SEA,16,137,4,58,3.6,79,4.9,2,8.0
1,Alex Collins,SEA,7,16,1,11,1.6,5,0.7,0,
2,DeeJay Dallas,SEA,2,16,,13,6.5,3,1.5,0,
3,Russell Wilson,SEA,2,8,1,8,4.0,0,0.0,0,
4,Gerald Everett,SEA,1,13,1,13,13.0,0,0.0,0,
5,Freddie Swain,SEA,1,3,,3,3.0,0,0.0,0,
7,Rex Burkhead,HOU,11,40,4,35,3.2,5,0.5,1,11.0
8,Royce Freeman,HOU,11,15,1,2,0.2,13,1.2,0,
9,Davis Mills,HOU,2,8,1,8,4.0,0,0.0,0,
10,Phillip Dorsett,HOU,1,0,,0,0.0,0,0.0,0,
