,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Corey Clement,DAL,13,44,2,23,1.8,21,1.6,0,
1,Ezekiel Elliott,DAL,12,45,2,23,1.9,22,1.8,0,
2,Dak Prescott,DAL,7,15,2,15,2.1,0,0.0,0,
3,CeeDee Lamb,DAL,2,15,1,13,6.5,2,1.0,0,
4,JaQuan Hardy,DAL,1,3,,3,3.0,0,0.0,0,
6,Antonio Gibson,WAS,10,36,2,18,1.8,18,1.8,0,
7,Jaret Patterson,WAS,4,29,2,15,3.8,14,3.5,0,
8,Jonathan Williams,WAS,4,16,1,9,2.3,7,1.8,0,
9,Taylor Heinicke,WAS,3,8,0,8,2.7,0,0.0,0,
10,Kyle Allen,WAS,2,11,1,11,5.5,0,0.0,0,
