,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Pharoh Cooper,NYG,2,34,17.0,0,17,1,0,0.0,0,0
3,Andre Roberts,LAC,1,29,29.0,0,29,0,0,,0,0
