,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Jason Myers,SEA,1,3,2,2,0,0,,0
1,Michael Dickson,SEA,,,,,4,169,42.3,48
4,Ka'imi Fairbairn,HOU,1,1,2,2,0,0,,0
5,Cameron Johnston,HOU,,,,,5,229,45.8,58
