,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Kalif Raymond,DET,0,0,,0,0,1,-4,-4.0,0,-4
3,Diontae Spencer,DEN,0,0,,0,0,2,13,6.5,0,11
