,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Hunter Renfrow,LVR,0,0,,0,0,1,6,6.0,0,6
1,Tyron Johnson,LVR,4,73,18.3,0,29,0,0,,0,0
4,Mecole Hardman,KAN,0,0,,0,0,1,11,11.0,0,11
5,Byron Pringle,KAN,1,24,24.0,0,24,0,0,,0,0
