,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Pat O'Donnell,CHI,,,,,4,160,40.0,50
1,Cairo Santos,CHI,,,1,1,0,0,,0
4,Ryan Succop,TAM,5,5,1,2,0,0,,0
5,Bradley Pinion,TAM,,,,,4,161,40.3,49
