,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Alvin Kamara,NOR,20,51,1,29,1.5,22,1.1,0,
1,Jameis Winston,NOR,8,40,5,25,3.1,15,1.9,0,
2,Alex Armah,NOR,1,2,1,1,1.0,1,1.0,0,
3,Ty Montgomery,NOR,1,4,,2,2.0,2,2.0,0,
4,Devine Ozigbo,NOR,1,-3,0,-3,-3.0,0,0.0,0,
6,Alex Collins,SEA,16,35,0,15,0.9,20,1.3,1,16.0
7,Rashaad Penny,SEA,6,9,,3,0.5,6,1.0,0,
8,Geno Smith,SEA,3,12,2,11,3.7,1,0.3,0,
9,Gerald Everett,SEA,1,12,1,7,7.0,5,5.0,0,
10,Travis Homer,SEA,1,14,,9,9.0,5,5.0,0,
11,Freddie Swain,SEA,1,8,1,6,6.0,2,2.0,0,
