,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Jalen Hurts,PHI,18,34,236,12,33.3,405,11.9,166,9.2,4.9,70,3.9,2,6.7%,4,13.3%,2,3,6,5,13,32.5%,4,8.3
2,Derek Carr,LVR,31,34,323,16,47.1,193,5.7,177,5.7,5.2,146,4.7,0,0.0%,2,5.9%,0,6,2,2,4,11.4%,1,2.0
