,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Jalen Hurts,PHI,13,61,4,56,4.3,5,0.4,0,
1,Boston Scott,PHI,7,24,2,9,1.3,15,2.1,0,
2,Miles Sanders,PHI,6,30,2,16,2.7,14,2.3,0,
3,Kenneth Gainwell,PHI,5,20,0,11,2.2,9,1.8,0,
4,Jalen Reagor,PHI,1,0,0,0,0.0,0,0.0,0,
6,Kenyan Drake,LVR,14,69,5,36,2.6,33,2.4,0,
7,Josh Jacobs,LVR,6,29,1,21,3.5,8,1.3,0,
8,Jalen Richard,LVR,4,8,,2,0.5,6,1.5,0,
9,Derek Carr,LVR,2,1,0,1,0.5,0,0.0,0,
10,Alec Ingold,LVR,1,1,1,1,1.0,0,0.0,0,
11,Marcus Mariota,LVR,1,4,,3,3.0,1,1.0,0,
12,Henry Ruggs III,LVR,1,7,0,7,7.0,0,0.0,0,
